cType	SYMBOL	METHODS
ACC	ATRX	3
ACC	BCOR	1
ACC	CTNNB1	3
ACC	DAXX	1
ACC	FAT1	1
ACC	FAT4	1
ACC	GNAS	1
ACC	KMT2A	1
ACC	MEN1	2
ACC	NF1	1
ACC	PRKAR1A	1
ACC	RB1	1
ACC	SETBP1	1
ACC	TP53	2
ACC	ZNRF3	1
ALL	CBL	1
ALL	CHD4	1
ALL	CREBBP	3
ALL	CTCF	3
ALL	ETV6	1
ALL	EZH2	1
ALL	FAT4	1
ALL	FLT3	4
ALL	GATA3	1
ALL	IKZF1	1
ALL	IL7R	1
ALL	JAK2	1
ALL	JAK3	1
ALL	KDM6A	1
ALL	KLF4	1
ALL	KMT2D	1
ALL	KRAS	4
ALL	LZTR1	1
ALL	NF1	1
ALL	NOTCH1	1
ALL	NRAS	5
ALL	NSD2	4
ALL	PHF6	1
ALL	PTPN11	5
ALL	RUNX1	2
ALL	SETD2	1
ALL	TBL1XR1	2
ALL	TP53	3
AML	ACSL3	1
AML	APC	1
AML	ASXL1	3
AML	ASXL2	1
AML	BCLAF1	3
AML	BCOR	3
AML	CBL	1
AML	CCND2	1
AML	CEBPA	4
AML	CR1	2
AML	CSF3R	2
AML	CTCF	1
AML	DDB2	1
AML	DNMT3A	6
AML	ELF4	1
AML	ETV5	1
AML	EZH2	3
AML	FAT4	1
AML	FGD5	2
AML	FLT3	7
AML	GATA2	5
AML	HLA-A	2
AML	IDH1	4
AML	IDH2	6
AML	IKZF1	2
AML	JAK2	2
AML	KIT	3
AML	KMT2C	2
AML	KRAS	3
AML	LRP1B	1
AML	LY75-CD302	2
AML	MAML2	1
AML	MTOR	1
AML	MYC	1
AML	MYH11	1
AML	NF1	2
AML	NKTR	2
AML	NPEPPS	2
AML	NPM1	1
AML	NRAS	6
AML	NT5C3A	4
AML	PCMTD1	2
AML	PHF6	3
AML	PTPN11	5
AML	RAD21	2
AML	RGL3	2
AML	RUNX1	5
AML	SF3B1	1
AML	SIRPA	2
AML	SMC1A	2
AML	SPEN	1
AML	SRSF2	4
AML	STAG2	3
AML	SUZ12	1
AML	TET2	4
AML	TNC	1
AML	TP53	5
AML	U2AF1	4
AML	U2AF2	3
AML	USP6	1
AML	ZCRB1	3
ANGS	ARHGEF10	1
ANGS	FLT4	1
ANGS	KDR	2
ANGS	NRAS	1
ANGS	PIK3CA	1
ANGS	PLCG1	2
ANGS	PTPRB	1
ANGS	TP53	2
BLCA	ARHGAP5	2
BLCA	ARID1A	3
BLCA	ARID1B	1
BLCA	ARID2	1
BLCA	ASXL2	2
BLCA	ATM	3
BLCA	BIRC6	3
BLCA	BRAF	3
BLCA	BRCA2	1
BLCA	BRD4	1
BLCA	CASP8	1
BLCA	CDH1	2
BLCA	CDKN1A	3
BLCA	CDKN2A	5
BLCA	CHD4	1
BLCA	CREBBP	4
BLCA	ELF3	3
BLCA	EP300	5
BLCA	ERBB2	5
BLCA	ERBB3	5
BLCA	ERBB4	3
BLCA	ERCC2	6
BLCA	FANCF	1
BLCA	FAT1	4
BLCA	FBXO11	1
BLCA	FBXW7	6
BLCA	FGFR1	1
BLCA	FGFR3	4
BLCA	FLT4	1
BLCA	GRIN2A	1
BLCA	HIST1H3B	1
BLCA	HLA-A	4
BLCA	HRAS	4
BLCA	HSPG2	2
BLCA	IDH2	1
BLCA	KDM6A	4
BLCA	KLF5	2
BLCA	KMT2A	4
BLCA	KMT2C	3
BLCA	KMT2D	4
BLCA	KRAS	3
BLCA	LRIG3	1
BLCA	MECOM	1
