SYMBOL	treatments
A2M	COBALT:6663071| PROSTAGLANDIN E1, ALPROSTADIL:6202298| Enzymes:23280790| THROMBIN:2432677
AANAT	ISOPROTERENOL:6152777| FLUOXETINE:15994025| ANTIDEPRESSANT:15994025| GLUCOCORTICOID:11303753| MELATONIN:8674865,15644438,15026119
ABAT	valproic acid:23407051;27918244
ABCA1	pravastatin:19673941;20031551| atorvastatin:20031551| fenofibrate:-| clopidogrel:-| simvastatin:20031551| daunorubicin:26230641| doxorubicin:26230641| CYCLOSPORINE, CSA:15084924
ABCA3	imatinib:25056761
ABCB1	Elacridar:-| 5-FU, FLUOROURACIL:16892554| phenothiazines with aliphatic side-chain:-| bromperidol:-| dipyridamole:-| BRYOSTATIN, BRYOSTATIN 1:9607591| PSC 833, VALSPODAR:9446255| haloperidol:-| VERAPAMIL:9862768,1671173| RO 31-8220:8624264| GABAPENTIN:17328248| FILGRASTIM, G-CSF:7564516| R101933:-| CYCLOSPORINE:1972761| cabazitaxel:27020167| VITAMIN E:16083877,12514119| TERFENADINE, ANTIHISTAMINE:11454724,16842392| prednisone:12175731;25637052| itraconazole:-| liothyronine:21449676| EPIGALOCATECHIN GALLATE, GREEN TEA POLYPHENOLS:11853888| DOXORUBICIN:11408511| MEGESTROL ACETATE:9025774| Biricodar:-| EPIPODOPHYLLOTOXINS:11850258| CAROTENOIDS:16454745| ANTIFUNGALS:11751127| EPIRUBICIN:15161039| ketoconazole:-| nitrendipine:-| topotecan:-| codeine:22398969| VCR, VINCRISTINE:9864280| GINKGO, GINKGO BILOBA:15577230| flupenthixol:-| trabectedin:24024892| propranolol:-| CAPSAICIN:16674925| aripiprazole:29443543| IBUPROFEN:11583291| Drugs For Treatment Of Tuberculosis:19686464;22162992;29036176| hydrocortisone:-| Antivirals for treatment of HIV infections, combinations:22162992| fluvastatin:16002074| disulfiram:-| vindesine:25637052| lansoprazole:17190370| PACLITAXEL:16467099| BIOCHANIN A, BIOCHANIN:12948016| Celiprolol:-| grapefruit juice:-| levofloxacin:23616064| PACLITAXEL:15876424| colchicine:25876828| METHADONE:15876424| lovastatin:-| CARBOPLATIN:11157479| SIMVASTATIN:15616150| LOVASTATIN:15616150,10213372| ivermectin:-| taxanes:12684679;19203783| propafenone:-| astemizole:-| platinum:19203783| QUINIDINE:1671173| R101933:12008197| sparfloxacin:-| Phenothiazine derivatives:-| OC144-093:-| corticosteroids:-| valinomycin:-| TRICHOSTATIN A, TRICHOSTATIN:17332941| CAMPTOTHECIN:9918583| amlodipine:-| aliskiren:-| paliperidone:29723928| NIMODIPINE:14743973| CORTISOL, HYDROCORTISONE:16873536| tetrabenazine:-| vitamin e:-| amiodarone:-| felodipine:-| quinidine:-| spironolactone:-| DIGOXIN:15969931,16674925| bepridil:-| LIPOSOMAL DOXORUBICIN:12138343| iguratimod:29517409| hydroxocobalamin:-| POLYPHENOL:11518657| ANTIPARASITIC:16381664| domperidone:-| GEMTUZUMAB OZOGAMICIN, CMA-676:11986941| rucaparib:-| crizotinib:-| IL-6:7564516| NIFEDIPINE:10213372| GLEEVEC:15155841| fluphenazine:-| quinine:-| Valspodar:-| idarubicin:16331627;20938465;25558979;25567217| ANTHRACYCLINES:11850258| curcumin:-| aldosterone:-| pentazocine:-| ANTICONVULSANTS:14749549| ZIDOVUDINE, AZT:15456083| vecuronium:-| erythromycin:-| CHEMBL1213492, HISTONE DEACETYLASE INHIBITOR:16223781| hmg coa reductase inhibitors:24595600| doxycycline:-| methylphenidate:23771192| oxcarbazepine:28837897| FEXOFENADINE HYDROCHLORIDE:15536457| probenecid:18576903| sorafenib:-| rituximab:25637052| NICOTINE:16191663| IMATINIB:15805252| DOMPERIDONE:15285840| tetracycline:-| chlorpromazine:-| PHENOBARBITAL:16928449| H2O2, HYDROGEN PEROXIDE:14622133,12514119| CLARITHROMYCIN:16221754| desipramine:-| TERFENADINE:10213372| rivaroxaban:27893182| ADRIAMYCIN:1363885,11069027| saquinavir:-| nefazodone:21449676| vemurafenib:23116250| fluvoxamine:18215618;22641028;26704739| lithium:21449676| Melatonin receptor agonists:-| VINCA ALKALOIDS:11850258| DIMETHYL SULFOXIDE:8762455| CHLORPROMAZINE:16810505| gramicidin d:-| peginterferon alfa-2a:28453396| (S)-EDDP:18460585| DAUNORUBICIN:10500777| THC:16439618| ANTIFOLATES:9256160| methylprednisolone:14583680| nicardipine:-| Tariquidar:-| ATAZANAVIR:16355344| PRAVASTATIN:15616150| daptomycin:25239468| clarithromycin:-| melphalan:-| amprenavir:-| oseltamivir:21902503| MICONAZOLE:15969931| DEXTROMETHORPHAN:15582917| mifepristone:-| GEFITINIB, ZD1839:15155841| Actinomycines:-| cimetidine:-| MARIJUANA:16439618| CURCUMIN:15090070| BENZOQUINONE, QUINONE:11713586| ITRACONAZOLE:15969931| silibinin:26595166| ondansetron:20707787;25012726| levetiracetam:-| DESFERRIOXAMINE, DEFEROXAMINE:12514119| mefloquine:-| VALSPODAR, PSC-833:15456083| FENOFIBRATE:16316932| pyrazinamide:19686464| elbasvir / grazoprevir:-| glucocorticoids:25346426| Zosuquidar:-| folic acid:20136356| mitomycin:-| modafinil:26757307| GARLIC:11466175| boceprevir:25836019| teniposide:-| voriconazole:19033450;29914286| GEFITINIB:16651435| SIROLIMUS:14569063| BROMOCRIPTINE:11856485,9514944| diltiazem:-| carvedilol:-| progesterone:-| amisulpride:29443543| PROBENECID:9182837| Cremophor EL:-| maprotiline:-| trastuzumab:-| RANITIDINE:9862768| fluoxetine glucuronide:-| anthracyclines and related substances:12684679;16331627;18377430;18408561;18836089;19752884;20179710;20938465;21900104;23441093;25558979;25567217| ranolazine:24433361| mitoxantrone:20938465| DOXYCYCLINE:11850258| TRIMETREXATE:10360822| Dabigatran:27261537;27893182| XR9051:-| rifampin:19686464| terfenadine:-| cyanocobalamin:-| PHENOTHIAZINE:16750172| LONAFARNIB:14671431| clomipramine:21449676| atenolol:-| erlotinib:22462752| rocuronium:25279974| SPIRONOLACTONE:16740618| reserpine:-| MILTEFOSINE:11355955| nelfinavir:11809184;16267764;16912956;20662624;20860463;23734829| PROPRANOLOL:15023456| omeprazole:15976989;29377228| IL-3:7564516| ATORVASTATIN:15616150| BISANTRENE (CHEMBL139554), BISANTRENE:9816258| indinavir:-| azithromycin:19904007| RITUXIMAB:16971809| simeprevir:-
ABCB11	glibenclamide:27403931| hmg coa reductase inhibitors:-| pravastatin:-| lapatinib:23556451| rosuvastatin:30100615| daunorubicin:26230641| doxorubicin:26230641
ABCB4	MITOMYCIN-C, MITOMYCIN:11167651| CYCLOSPORINE:1972761| imatinib:30237583| VINBLASTINE:7918493| anthracyclines and related substances:21900104;23441093| VINCRISTINE:1673638
ABCB5	haloperidol:25647612;27023437
ABCC1	ETOPOSIDE:9472114,7671247| PIRARUBICIN:12897808| BUTHIONINE SULFOXIMINE:11189941| SAQUINAVIR MESYLATE:12384350| RITONAVIR:11745741| VALSPODAR, PSC-833:11189941,9816180| paclitaxel:21151855| MELPHALAN:14733945| TRAIL:10811986| CYCLOSPORINE, CSA:11189941| fluorouracil:-| NOVOBIOCIN:10901300| CDDP, CISPLATIN (CHEMBL2068237):11372415| TROXACITABINE:12451476| conjugated estrogens:16041243| TENIPOSIDE, VM-26:9865734| EPIGALOCATECHIN GALLATE, EGCG:14511674| vincristine:27180762| PROTEASE INHIBITORS:16078135| EPIPODOPHYLLOTOXINS:9719484| CYCLOSPORIN A, CYCLOSPORINE:11189941| ETOPOSIDE, VP-16:7671247| AZITHROMYCIN:12697643| DIPYRIDAMOLE:9664131| PROBENECID:9182837| DROLOXIFENE:11721384| THYMIDINE:9379682| montelukast:-| azathioprine:26332308| IRINOTECAN, CPT-11:9918583| oxaliplatin:-| docetaxel:21151855| ADRIAMYCIN:15130309| anthracyclines and related substances:21900104;23441093| cyclosporine:-| ALVOCIDIB, FLAVOPIRIDOL:10496352| SODIUM BUTYRATE:11587480| MS-209:10049760| clozapine:-| leucovorin:-| DAUNORUBICIN:10655559| LAMIVUDINE:12218384| CYTOKINES:15654950| ANNAMYCIN:9096663| PILOCARPINE:15860570| ERYTHROMYCIN:10817732| OFLOXACIN:10817732
