cType	SYMBOL	Missense	Nonsense
ALL	ACSL6	1.9230769230769231	
ALL	ATM	0.9615384615384616	
ALL	BAZ2B	0.9615384615384616	
ALL	CDC27	0.9615384615384616	
ALL	CHD4	1.9230769230769231	
ALL	CNOT1	0.9615384615384616	
ALL	CNOT3	1.9230769230769231	
ALL	CREBBP	1.9230769230769231	
ALL	CTCF	0.9615384615384616	0.9615384615384616
ALL	DAXX		0.9615384615384616
ALL	DDX3X	0.9615384615384616	
ALL	DLC1	0.9615384615384616	
ALL	DNM2	1.9230769230769231	
ALL	EZH2	2.8846153846153846	
ALL	FBXW7	3.8461538461538463	
ALL	FGFR1	0.9615384615384616	
ALL	FLT3	0.9615384615384616	
ALL	FLT4	0.9615384615384616	
ALL	FN1	0.9615384615384616	
ALL	GATA3	0.9615384615384616	
ALL	GOLGA5	0.9615384615384616	
ALL	HDAC2	0.9615384615384616	
ALL	IKZF3		0.9615384615384616
ALL	JAK3	0.9615384615384616	
ALL	JMY	0.9615384615384616	
ALL	KDM1A		0.9615384615384616
ALL	KDM6A	0.9615384615384616	
ALL	KRAS	2.8846153846153846	
ALL	MED12	0.9615384615384616	
ALL	MED23		0.9615384615384616
ALL	MGA	0.9615384615384616	
ALL	NAP1L1	0.9615384615384616	
ALL	NF1		8.653846153846153
ALL	NF2	0.9615384615384616	
ALL	NOTCH1	1.9230769230769231	
ALL	NOTCH2	0.9615384615384616	
ALL	NRAS	2.8846153846153846	
ALL	NSD1	0.9615384615384616	
ALL	NTRK2	0.9615384615384616	
ALL	PAX5	0.9615384615384616	
ALL	PHF6	1.9230769230769231	3.8461538461538463
ALL	PPM1D	0.9615384615384616	
ALL	PTEN		1.9230769230769231
ALL	PTPN11	1.9230769230769231	
ALL	RAD21		0.9615384615384616
ALL	RASA2	0.9615384615384616	
ALL	RB1		0.9615384615384616
ALL	RPL5	0.9615384615384616	0.9615384615384616
ALL	SETD2	0.9615384615384616	
ALL	SH2B3		1.9230769230769231
ALL	STAG2	0.9615384615384616	
ALL	STARD13	0.9615384615384616	
ALL	TBL1XR1	0.9615384615384616	
ALL	TNFAIP3	0.9615384615384616	
ALL	TP53	4.807692307692308	5.769230769230769
ALL	WASF3	0.9615384615384616	
ALL	WHSC1	0.9615384615384616	
ALL	WT1	0.9615384615384616	
ALL	ZFHX3	0.9615384615384616	
ALL	ZFP36L2		0.9615384615384616
ALL	ZNF638	0.9615384615384616	
AML	ARHGEF6		0.35211267605633806
AML	ARID1A	0.35211267605633806	
AML	ARID2		0.35211267605633806
AML	ARID4B	0.35211267605633806	
AML	ASXL1		1.4084507042253522
AML	ATP6AP2	0.35211267605633806	
AML	BCOR		0.7042253521126761
AML	CALR		0.35211267605633806
AML	CEBPA	1.4084507042253522	3.169014084507042
AML	CHD4	0.7042253521126761	
AML	CSF3R	0.35211267605633806	
AML	CTCF		0.35211267605633806
AML	CUL1	0.35211267605633806	
AML	CUL3	0.35211267605633806	
AML	DAXX	0.35211267605633806	
AML	DDR2	0.35211267605633806	
AML	DIS3	0.7042253521126761	
AML	DLC1	0.35211267605633806	
AML	DNM2		0.35211267605633806
AML	DNMT3A	5.28169014084507	3.5211267605633805
AML	ELF1	0.35211267605633806	
AML	ELF4	0.35211267605633806	
AML	EPHA2	0.35211267605633806	
AML	ETV6	0.35211267605633806	
AML	EZH2	0.35211267605633806	
AML	FAT1	0.35211267605633806	
AML	FBXO11		0.35211267605633806
AML	FLT3	9.859154929577464	1.7605633802816902
AML	FN1		0.35211267605633806
AML	GATA2	0.7042253521126761	
AML	GNAI2	0.35211267605633806	
AML	HCFC1	0.35211267605633806	
AML	HDAC2	0.35211267605633806	
AML	HERC2	0.35211267605633806	
AML	HIST1H3D	0.35211267605633806	
AML	IDH1	1.4084507042253522	
AML	IDH2	1.056338028169014	
AML	IKZF1	0.35211267605633806	
AML	JAK2	0.35211267605633806	
AML	JAK3	0.35211267605633806	
AML	KANSL1		0.35211267605633806
AML	KDM6A	0.35211267605633806	
AML	KDR	0.7042253521126761	
AML	KIT	1.056338028169014	
AML	KRAS	2.464788732394366	
AML	LIMA1		0.35211267605633806
AML	MAX	0.35211267605633806	
AML	MED12	0.35211267605633806	
AML	MGA		0.35211267605633806
AML	MLL3		0.35211267605633806
AML	MLLT4	0.35211267605633806	
AML	MYB	0.35211267605633806	
AML	MYC	0.35211267605633806	
AML	NF1	0.35211267605633806	0.35211267605633806
AML	NOTCH1	0.35211267605633806	
AML	NOTCH2	0.35211267605633806	
AML	NPM1		4.929577464788732
AML	NRAS	2.464788732394366	
AML	NUP93	0.35211267605633806	
AML	PDGFRA	0.35211267605633806	
AML	PHF6	0.7042253521126761	1.056338028169014
AML	PIK3CB	0.35211267605633806	
AML	PRPF8	0.7042253521126761	
AML	PTCH1	0.35211267605633806	
AML	PTPN11	3.169014084507042	
AML	RAD21		1.7605633802816902
AML	RUNX1	2.8169014084507045	2.464788732394366
AML	SETBP1	0.7042253521126761	
AML	SETD2		0.35211267605633806
AML	SF3B1	0.35211267605633806	
AML	SH2B3	0.35211267605633806	
AML	SMC1A	1.7605633802816902	
AML	SOS1	0.35211267605633806	
AML	SPEN	0.35211267605633806	0.35211267605633806
AML	SRSF2	0.35211267605633806	
AML	STAG2		1.056338028169014
AML	SUZ12	0.7042253521126761	
AML	TET2	1.4084507042253522	7.394366197183098
AML	TP53	3.873239436619718	1.7605633802816902
AML	TRIO	0.35211267605633806	
AML	U2AF1	1.056338028169014	
AML	USP6	0.35211267605633806	
AML	WIPF1	0.35211267605633806	
AML	WT1	0.7042253521126761	2.8169014084507045
AML	ZNF638	0.35211267605633806	
BLCA	ABCB1	0.11160714285714285	
BLCA	ABL1	0.2232142857142857	
BLCA	ACACA	0.33482142857142855	
BLCA	ACSL6	0.11160714285714285	
BLCA	ACTB	0.2232142857142857	
BLCA	ACTG1	0.11160714285714285	
BLCA	ADAM10	0.11160714285714285	
BLCA	AFF4	0.33482142857142855	
BLCA	ANK3	0.2232142857142857	
BLCA	APC	0.11160714285714285	0.33482142857142855
BLCA	AQR	0.2232142857142857	
BLCA	ARAP3	0.2232142857142857	0.11160714285714285
BLCA	ARFGAP1	0.11160714285714285	
BLCA	ARFGAP3		0.11160714285714285
BLCA	ARFGEF1	0.11160714285714285	
BLCA	ARFGEF2	0.2232142857142857	
BLCA	ARHGAP29	0.11160714285714285	0.11160714285714285
BLCA	ARHGAP35	0.2232142857142857	0.33482142857142855
BLCA	ARID1A		2.455357142857143
BLCA	ARID1B		0.2232142857142857
BLCA	ARID2	0.11160714285714285	0.11160714285714285
BLCA	ARID4A	0.11160714285714285	0.11160714285714285
BLCA	ARID4B	0.2232142857142857	0.11160714285714285
BLCA	ARID5B	0.11160714285714285	
BLCA	ASH1L	0.33482142857142855	
